Run,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_AUC
1,1,0.841237827709743,0.9695727452635765,0.26666666666666666,0.13333333333333333
1,2,0.6793523022106716,1.0347553566098213,0.36666666666666664,0.2488888888888889
1,3,0.5370812160628182,1.0344081819057465,0.6,0.7244444444444444
1,4,0.42524461107594624,0.6746098585426807,0.6666666666666666,0.7111111111111111
1,5,0.2655954984681947,0.7353110499680042,0.6333333333333333,0.6577777777777778
1,6,0.3174441276916436,0.6666628532111645,0.7333333333333333,0.7955555555555556
1,7,0.2241186071719442,0.6512427441775799,0.7666666666666667,0.8
1,8,0.21641719846853189,0.6701777139678597,0.7666666666666667,0.8533333333333333
1,9,0.20711209273764064,0.5828215526416898,0.7666666666666667,0.9288888888888889
1,10,0.14846152679196425,0.7669058678438887,0.7333333333333333,0.8311111111111111
1,11,0.17258076263325556,0.7869907035492361,0.6,0.7688888888888888
1,12,0.16140457444957323,0.634710306301713,0.7333333333333333,0.8222222222222222
1,13,0.08004171222980533,0.5771466582082212,0.8,0.888888888888889
1,14,0.09973158626151936,0.5362283671274781,0.7666666666666667,0.888888888888889
1,15,0.14727318294878516,0.6608815100044012,0.6666666666666666,0.8133333333333335
1,16,0.1527180891484022,0.9138835091143847,0.7,0.8533333333333333
1,17,0.09644232778144735,0.8120500631630421,0.7333333333333333,0.8222222222222222
1,18,0.04067591391503811,0.60897934762761,0.7666666666666667,0.8577777777777778
1,19,0.1355005117665444,0.5162603203207254,0.7666666666666667,0.8755555555555556
1,20,0.05789451870535101,0.5809192397864535,0.8,0.8488888888888889
1,21,0.03718308593545641,0.6296652045566589,0.7666666666666667,0.8933333333333333
1,22,0.05220418201227273,0.6344236126169562,0.7666666666666667,0.8311111111111111
1,23,0.046001949759998495,0.6786881161679048,0.7666666666666667,0.8577777777777778
1,24,0.07464203065527338,0.620889744721353,0.7,0.84
1,25,0.0698697351451431,0.47158303993637674,0.8333333333333334,0.88
2,1,0.8425158534731184,0.7920504659414291,0.26666666666666666,0.25462962962962965
2,2,0.7236506453582219,0.8347229659557343,0.5,0.3287037037037037
2,3,0.6308269875390189,0.888190396130085,0.4,0.5787037037037037
2,4,0.4492889459644045,0.9181252834387124,0.7,0.7824074074074074
2,5,0.36588498141084397,0.7441261857748032,0.5333333333333333,0.7731481481481481
2,6,0.2555299059620925,0.6574181243777275,0.6666666666666666,0.7453703703703705
2,7,0.33198366037436894,1.0304691269993782,0.5,0.7824074074074074
2,8,0.20352104444588934,0.5296411272138357,0.7666666666666667,0.8194444444444445
2,9,0.1863583523247923,0.5040370933711529,0.8,0.8657407407407407
2,10,0.13651130188788688,0.4085541404783726,0.8333333333333334,0.8935185185185186
2,11,0.08295428271272352,0.46231164783239365,0.8666666666666667,0.8472222222222222
2,12,0.07722759651286261,0.7216197103261948,0.7333333333333333,0.8055555555555556
2,13,0.10030217934399843,0.6931740844156593,0.8,0.8842592592592593
2,14,0.18757471250636237,0.64463952742517,0.8,0.875
2,15,0.08372560090252332,0.8431995897553861,0.7,0.9305555555555556
2,16,0.08510830554046801,0.45573024824261665,0.8,0.888888888888889
2,17,0.23937604767935616,0.7422225475311279,0.7333333333333333,0.8796296296296297
2,18,0.11305121265883956,0.38043182576075196,0.8666666666666667,0.9259259259259259
2,19,0.12870329658367805,0.2739148298278451,0.9,0.9490740740740741
2,20,0.07755005311753069,1.1031958698295057,0.6,0.8425925925925926
2,21,0.19386593058173146,0.4704590141773224,0.7333333333333333,0.9305555555555555
2,22,0.1178310398544584,0.4017003420740366,0.8333333333333334,0.8935185185185185
2,23,0.039273849315941335,0.42324957391247153,0.8333333333333334,0.9259259259259258
2,24,0.0613975087712918,0.3691773070022464,0.8666666666666667,0.8981481481481483
2,25,0.06924140094114202,0.5464873882010579,0.8333333333333334,0.8518518518518519
3,1,0.8178616336413792,1.0549191012978554,0.26666666666666666,0.05499999999999999
3,2,0.6698762944766453,1.0967232063412666,0.36666666666666664,0.12
3,3,0.5478023788758687,0.9312696009874344,0.4666666666666667,0.4800000000000001
3,4,0.3561482037816729,0.5919447559863329,0.7333333333333333,0.845
3,5,0.3025124245456287,1.0408232565969229,0.6666666666666666,0.635
3,6,0.3292985380760261,0.5931318737566471,0.7,0.79
3,7,0.19287263027259283,0.5776100344955921,0.6666666666666666,0.785
3,8,0.1171125046376671,0.6426400132477283,0.6666666666666666,0.785
3,9,0.18815253180052552,0.8216899419203401,0.7,0.74
3,10,0.22624789497682027,0.4754554256796837,0.7333333333333333,0.845
3,11,0.1634274856054357,0.6181342750787735,0.7333333333333333,0.82
3,12,0.128085142533694,0.6267313435673714,0.6333333333333333,0.8099999999999999
3,13,0.09478481606181179,0.7491009917575866,0.7,0.83
3,14,0.11999935031469379,0.5038051283918321,0.7,0.8400000000000001
3,15,0.10983681912933077,0.5112239355221391,0.7333333333333333,0.845
3,16,0.10132537239364216,0.7060385420918465,0.7333333333333333,0.84
3,17,0.05815724959330899,1.207293123472482,0.6,0.805
3,18,0.062297653539904525,0.7077559062745422,0.6666666666666666,0.81
3,19,0.05210318854078651,0.7071335231885314,0.7333333333333333,0.825
3,20,0.04015259575098753,0.8033419428393245,0.6666666666666666,0.77
3,21,0.02080109655590994,0.7436741264536977,0.6666666666666666,0.84
3,22,0.018037886851068052,0.8783079949207604,0.6666666666666666,0.8
3,23,0.11844579738431743,0.7657724283635616,0.6333333333333333,0.775
